id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated
1027,Ethereum,ETH,ethereum,4522,2015-08-07T00:00:00.000Z,,118335585.124,118335585.124,,2,2021-11-14T08:47:02.000Z
1839,Binance Coin,BNB,binance-coin,553,2017-07-25T00:00:00.000Z,166801148,166801148,166801148,,3,2021-11-14T08:47:08.000Z
825,Tether,USDT,tether,19181,2015-02-25T00:00:00.000Z,,73859886038.52132,76357051672.20364,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",4,2021-11-14T08:46:09.000Z
5426,Solana,SOL,solana,181,2020-04-10T00:00:00.000Z,,303212632.2440539,508992882.491593,,5,2021-11-14T08:47:05.000Z
2010,Cardano,ADA,cardano,303,2017-10-01T00:00:00.000Z,45000000000,33298775297.648,33719282563.077,,6,2021-11-14T08:46:10.000Z
52,XRP,XRP,xrp,628,2013-08-04T00:00:00.000Z,100000000000,47158974920,99990145360,,7,2021-11-14T08:47:03.000Z
6636,Polkadot,DOT,polkadot-new,252,2020-08-19T00:00:00.000Z,,987579314.957085,1103303471.382273,,8,2021-11-14T08:47:06.000Z
74,Dogecoin,DOGE,dogecoin,408,2013-12-15T00:00:00.000Z,,132113581229.33951,132113581229.33951,,9,2021-11-14T08:47:03.000Z
3408,USD Coin,USDC,usd-coin,1537,2018-10-08T00:00:00.000Z,,34424351583.84238,34424351583.84238,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",10,2021-11-14T08:47:05.000Z
5994,SHIBA INU,SHIB,shiba-inu,158,2020-08-01T00:00:00.000Z,,549095509738353,589738956207003.8,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce'}",11,2021-11-14T08:46:10.000Z
4172,Terra,LUNA,terra-luna,102,2019-07-26T00:00:00.000Z,,454339437.6669358,931574045.229598,,12,2021-11-14T08:47:03.000Z
5805,Avalanche,AVAX,avalanche,111,2020-07-13T00:00:00.000Z,720000000,220286577.20755112,391128418.8675511,,13,2021-11-14T08:47:07.000Z
2,Litecoin,LTC,litecoin,679,2013-04-28T00:00:00.000Z,84000000,68970557.593416,84000000,,14,2021-11-14T08:47:02.000Z
1975,Chainlink,LINK,chainlink,474,2017-09-20T00:00:00.000Z,1000000000,465509553.9174637,1000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x514910771af9ca656af840dff83e8264ecf986ca'}",15,2021-11-14T08:46:10.000Z
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,171,2019-01-30T00:00:00.000Z,,239132.08155071,239132.08155071,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2260fac5e5542a773aa44fbcfedf7c193bc2c599'}",16,2021-11-14T08:47:07.000Z
7083,Uniswap,UNI,uniswap,284,2020-09-17T00:00:00.000Z,1000000000,627596088.553873,1000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1f9840a85d5af5bf1d1762f925bdaddc4201f984'}",17,2021-11-14T08:46:10.000Z
4687,Binance USD,BUSD,binance-usd,1532,2019-09-20T00:00:00.000Z,,13541249919.7,13541249919.7,"{'id': 1839, 'name': 'Binance Chain (BEP2)', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'BUSD-BD1'}",18,2021-11-14T08:47:07.000Z
1831,Bitcoin Cash,BCH,bitcoin-cash,525,2017-07-23T00:00:00.000Z,21000000,18900131.25,18900131.25,,19,2021-11-14T08:46:09.000Z
4030,Algorand,ALGO,algorand,157,2019-06-20T00:00:00.000Z,10000000000,6248821589.514827,6710401320.824432,,20,2021-11-14T08:46:11.000Z
3890,Polygon,MATIC,polygon,255,2019-04-28T00:00:00.000Z,10000000000,6902890164.27,10000000000,,21,2021-11-14T08:46:08.000Z
3077,VeChain,VET,vechain,149,2017-08-22T00:00:00.000Z,86712634466,64315576989,86712634466,,22,2021-11-14T08:47:02.000Z
3635,Crypto.com Coin,CRO,crypto-com-coin,108,2018-12-14T00:00:00.000Z,30263013692,25263013692,30263013692,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b'}",23,2021-11-14T08:47:06.000Z
6783,Axie Infinity,AXS,axie-infinity,132,2020-08-31T00:00:00.000Z,270000000,60907500,270000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xbb0e17ef65f82ab018d8edd776e8dd940327b28b'}",25,2021-11-14T08:47:07.000Z
8916,Internet Computer,ICP,internet-computer,80,2021-03-23T00:00:00.000Z,,182112478.45,474655608.5967533,,26,2021-11-14T08:47:08.000Z
1958,TRON,TRX,tron,486,2017-09-13T00:00:00.000Z,,71659657369.49,100850743811.662,,27,2021-11-14T08:46:09.000Z
2280,Filecoin,FIL,filecoin,150,2017-12-13T00:00:00.000Z,,123045141,123045141,,28,2021-11-14T08:47:04.000Z
1321,Ethereum Classic,ETC,ethereum-classic,257,2016-07-24T00:00:00.000Z,210700000,130979049.86693981,210700000,,29,2021-11-14T08:47:04.000Z
3794,Cosmos,ATOM,cosmos,188,2019-03-14T00:00:00.000Z,,224532559.417821,282317162.417821,,30,2021-11-14T08:47:08.000Z
2416,THETA,THETA,theta,80,2018-01-17T00:00:00.000Z,1000000000,1000000000,1000000000,,31,2021-11-14T08:47:06.000Z
4023,Bitcoin BEP2,BTCB,bitcoin-bep2,54,2019-06-18T00:00:00.000Z,,105109.86942151,112501,"{'id': 1839, 'name': 'Binance Chain (BEP2)', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'BTCB-1DE'}",32,2021-11-14T08:46:10.000Z
4195,FTX Token,FTT,ftx-token,86,2019-07-31T00:00:00.000Z,352170015,120014732.21874374,335885068.2859715,"{'id': 1839, 'name': 'Binance Chain (BEP2)', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'FTT-F11'}",33,2021-11-14T08:47:03.000Z
3513,Fantom,FTM,fantom,116,2018-10-29T00:00:00.000Z,3175000000,2545006273,2545006273,,34,2021-11-14T08:47:05.000Z
4943,Dai,DAI,multi-collateral-dai,421,2019-11-22T00:00:00.000Z,,6474951713.635377,6474952202.474523,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6b175474e89094c44da98b954eedeac495271d0f'}",35,2021-11-14T08:46:09.000Z
4642,Hedera,HBAR,hedera,70,2019-09-17T00:00:00.000Z,50000000000,15018941582.14876,50000000000,,36,2021-11-14T08:47:07.000Z
6892,Elrond,EGLD,elrond-egld,57,2020-09-04T00:00:00.000Z,31415926,19731123.78909813,22722248,,37,2021-11-14T08:46:09.000Z
6535,NEAR Protocol,NEAR,near-protocol,70,2020-08-11T00:00:00.000Z,1000000000,546225896,1000000000,,38,2021-11-14T08:47:05.000Z
1966,Decentraland,MANA,decentraland,188,2017-09-17T00:00:00.000Z,,1816923291.4950888,2194003527.320146,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0f5d2fb29fb7d3cfee444a200298f468908cc942'}",39,2021-11-14T08:46:09.000Z
5665,Helium,HNT,helium,31,2020-06-05T00:00:00.000Z,223000000,102017612.09831984,223000000,,40,2021-11-14T08:47:07.000Z
2011,Tezos,XTZ,tezos,175,2017-10-06T00:00:00.000Z,,866856610.884094,895813549.589565,,41,2021-11-14T08:46:10.000Z
6719,The Graph,GRT,the-graph,136,2020-12-17T00:00:00.000Z,10057044431,4715735200,10000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc944e90c64b2c07662a292be6244bdf05cda44a7'}",42,2021-11-14T08:47:07.000Z
328,Monero,XMR,monero,148,2014-05-21T00:00:00.000Z,,18014103.58442386,18014103.58442386,,43,2021-11-14T08:47:05.000Z
