id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
1027,Ethereum,ETH,ethereum,4522,2015-08-07T00:00:00.000Z,,118335585.1,118335585.1,,2,2021-11-14T08:47:02.000Z,4592.131684,13826968037,-18.6548,-0.3439494,-0.8802668,1.01851648,21.47258246,34.77192786,40.29952019,5.43E+11,19.3497,5.43E+11,2021-11-14T08:47:02.000Z
1839,Binance Coin,BNB,binance-coin,553,2017-07-25T00:00:00.000Z,166801148,166801148,166801148,,3,2021-11-14T08:47:08.000Z,638.7648062,2144470068,3.6649,-0.93580929,1.77043815,-3.98074038,39.25079626,50.85888043,50.09187582,1.07E+11,3.7939,1.07E+11,2021-11-14T08:47:08.000Z
825,Tether,USDT,tether,19181,2015-02-25T00:00:00.000Z,,73859886039,76357051672,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",4,2021-11-14T08:46:09.000Z,1.000410351,64444462769,-14.8436,0.02171759,-0.11361073,-0.03865709,0.06649677,-0.00164614,-0.00127185,73890194546,2.6306,76388384896,2021-11-14T08:46:09.000Z
5426,Solana,SOL,solana,181,2020-04-10T00:00:00.000Z,,303212632.2,508992882.5,,5,2021-11-14T08:47:05.000Z,235.3130342,2235358462,-12.3607,-0.38717893,3.75221593,-6.14700492,44.53390434,44.83938794,284.4006838,71349884503,2.5401,1.20E+11,2021-11-14T08:47:05.000Z
2010,Cardano,ADA,cardano,303,2017-10-01T00:00:00.000Z,45000000000,33298775298,33719282563,,6,2021-11-14T08:46:10.000Z,2.032312103,1900838880,-25.0457,-0.25350441,-1.401763,2.48800684,-6.233961,-14.95662153,-6.55610617,67673504054,2.4092,91454044636,2021-11-14T08:46:10.000Z
52,XRP,XRP,xrp,628,2013-08-04T00:00:00.000Z,1.00E+11,47158974920,99990145360,,7,2021-11-14T08:47:03.000Z,1.18001006,2713585060,-22.4057,-0.43511251,-1.26447283,1.00296946,5.3947888,8.08481183,-7.96541165,55648064834,1.9811,1.18E+11,2021-11-14T08:47:03.000Z
6636,Polkadot,DOT,polkadot-new,252,2020-08-19T00:00:00.000Z,,987579315,1103303471,,8,2021-11-14T08:47:06.000Z,46.08443891,1173921946,-30.4278,-0.74630112,0.04299477,-13.31375229,14.86012801,25.246475,90.69172484,45512038612,1.6198,50845121430,2021-11-14T08:47:06.000Z
74,Dogecoin,DOGE,dogecoin,408,2013-12-15T00:00:00.000Z,,1.32E+11,1.32E+11,,9,2021-11-14T08:47:03.000Z,0.267852953,1041072044,-22.5036,2.66211885,4.03509039,2.94547016,17.48664759,10.73401315,-20.80588366,35387012863,1.2598,35387012863,2021-11-14T08:47:03.000Z
3408,USD Coin,USDC,usd-coin,1537,2018-10-08T00:00:00.000Z,,34424351584,34424351584,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",10,2021-11-14T08:47:05.000Z,1.000425236,2657019746,-24.6708,0.05519693,-0.07025063,0.02498158,0.0727921,0.0272239,0.06766062,34438990073,1.2263,34438990073,2021-11-14T08:47:05.000Z
5994,SHIBA INU,SHIB,shiba-inu,158,2020-08-01T00:00:00.000Z,,5.49E+14,5.90E+14,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce'}",11,2021-11-14T08:46:10.000Z,5.25E-05,2407811202,-2.4643,0.27609882,1.97877084,-6.86314305,114.29078,690.4683502,507.6889958,28840010352,1.0267,30974716238,2021-11-14T08:46:10.000Z
4172,Terra,LUNA,terra-luna,102,2019-07-26T00:00:00.000Z,,454339437.7,931574045.2,,12,2021-11-14T08:47:03.000Z,51.16733463,573212943.5,-16.2722,-0.36715822,3.79609551,-1.6986611,39.98945895,39.01917057,133.3859567,23247338042,0.8276,47666160903,2021-11-14T08:47:03.000Z
5805,Avalanche,AVAX,avalanche,111,2020-07-13T00:00:00.000Z,720000000,220286577.2,391128418.9,,13,2021-11-14T08:47:07.000Z,97.20559884,1440121563,129.8941,-0.51626113,11.00960287,15.40477455,73.45153204,79.48902962,404.4432208,21413088654,0.7625,69988031165,2021-11-14T08:47:07.000Z
2,Litecoin,LTC,litecoin,679,2013-04-28T00:00:00.000Z,84000000,68970557.59,84000000,,14,2021-11-14T08:47:02.000Z,250.7171494,2691523849,-36.1951,-0.91463261,0.53299748,26.20478418,39.13642034,37.88768346,35.44322651,17292101595,0.6157,21060240553,2021-11-14T08:47:02.000Z
1975,Chainlink,LINK,chainlink,474,2017-09-20T00:00:00.000Z,1000000000,465509553.9,1000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x514910771af9ca656af840dff83e8264ecf986ca'}",15,2021-11-14T08:46:10.000Z,33.61939959,777046083.9,-29.8782,-0.47085588,-0.36009014,4.94617634,27.12653743,10.44055151,14.52135955,15650151705,0.5572,33619399588,2021-11-14T08:46:10.000Z
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,171,2019-01-30T00:00:00.000Z,,239132.0816,239132.0816,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2260fac5e5542a773aa44fbcfedf7c193bc2c599'}",16,2021-11-14T08:47:07.000Z,65394.01688,98674810.03,-26.0629,-0.38268,0.81694309,5.87083934,10.656039,38.58184191,38.33181702,15637807378,0.5567,15637807378,2021-11-14T08:47:07.000Z
7083,Uniswap,UNI,uniswap,284,2020-09-17T00:00:00.000Z,1000000000,627596088.6,1000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1f9840a85d5af5bf1d1762f925bdaddc4201f984'}",17,2021-11-14T08:46:10.000Z,24.45270615,163237864.4,-41.2291,-0.76256251,0.35980524,-2.62876773,-5.51859857,-2.81899412,-20.1138604,15346422734,0.5465,24452706150,2021-11-14T08:46:10.000Z
4687,Binance USD,BUSD,binance-usd,1532,2019-09-20T00:00:00.000Z,,13541249920,13541249920,"{'id': 1839, 'name': 'Binance Chain (BEP2)', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'BUSD-BD1'}",18,2021-11-14T08:47:07.000Z,1.000217177,4808864353,-20.6671,0.21058853,-0.08650847,0.02360694,0.05980738,-0.00263191,0.0396613,13544190767,0.4823,13544190767,2021-11-14T08:47:07.000Z
1831,Bitcoin Cash,BCH,bitcoin-cash,525,2017-07-23T00:00:00.000Z,21000000,18900131.25,18900131.25,,19,2021-11-14T08:46:09.000Z,665.2137774,950769483.4,-19.6174,-0.59461462,0.62432434,12.86674304,8.46508775,4.18806734,-4.56076535,12572627702,0.4476,13969489326,2021-11-14T08:46:09.000Z
4030,Algorand,ALGO,algorand,157,2019-06-20T00:00:00.000Z,10000000000,6248821590,6710401321,,20,2021-11-14T08:46:11.000Z,1.985339755,649408604.7,-50.213,-0.23451781,-3.74041482,8.38825295,12.73487631,-3.33672965,98.37004118,12406033921,0.4418,19853397546,2021-11-14T08:46:11.000Z
